"time","dx","rho_1","rho_2","x","der(dx)","der(rho_1)","der(rho_2)","der(x)","dm_1","dm_2","drho_1","drho_2"
0,0,1005,1000.5,0,9000,0,-0,0,0,0,0,-0
0,1e-06,1005,1000.5,0,8999.99999,-0.001005,0.0010005,1e-06,0,0,-0.001005,0.0010005
4e-05,0.3595443147054971,1004.992830232934,1000.507137630399,7.19512363979062e-06,8967.789761923137,-358.2733057959951,356.6725182074218,0.3595443147054971,3.063574813311074,3.056701252725775,-358.2733057959951,356.6725182074218
5.999999999999999e-05,0.538549215904028,1004.98388000874,1000.51604802644,1.617722146641025e-05,8930.278472439422,-536.6309444493596,534.2523862006966,0.538549215904028,4.593654927900765,4.583389682510333,-536.6309444493596,534.2523862006966
8.000000000000001e-05,0.7166617352501399,1004.971371572352,1000.528501343926,2.873061509938474e-05,8878.573839499135,-714.0822733345517,710.9527829179873,0.7166617352501399,6.121737670258564,6.108135133132503,-714.0822733345517,710.9527829179873
0.0001,0.8935987072137432,1004.955325655026,1000.544477466151,4.483489099306921e-05,8812.760390678277,-890.3396154815339,886.4946206373886,0.8935987072137432,7.647246051756794,7.630376825896273,-890.3396154815339,886.4946206373886
0.00012,1.069079695214088,1004.935770081455,1000.56394939213,6.446265314281644e-05,8732.95058169736,-1065.118287594183,1060.601538325424,1.069079695214088,9.169478843504471,9.149432922006879,-1065.118287594183,1060.601538325424
0.00014,1.242826077343238,1004.912737099641,1000.586885824151,8.758214769586437e-05,8639.274290207897,-1238.135455757181,1232.998719156123,1.242826077343238,10.68786080226969,10.66474386972273,-1238.135455757181,1232.998719156123
0.00016,1.414561561767387,1004.88626348745,1000.613251059466,0.0001141571550049432,8531.879240350527,-1409.110765482332,1403.413464096944,1.414561561767387,12.20185671899493,12.17578873523367,-1409.110765482332,1403.413464096944
0.00018,1.584013851302609,1004.856393467762,1000.643002154035,0.0001441441148577015,8410.942488940098,-1577.768211330246,1571.576982575089,1.584013851302609,13.71080849039977,13.68192661901249,-1577.768211330246,1571.576982575089
0.0002,1.750913884533347,1004.823175824767,1000.676091715215,0.0001774949692232124,8276.659080258662,-1743.835209815763,1737.223436539166,1.750913884533347,15.21411825981781,15.18257478597158,-1743.835209815763,1737.223436539166
0.00022,1.914997043166356,1004.786665223773,1000.712466611404,0.0002141558508952539,8129.247254306002,-1907.043920678642,1900.091200315544,1.914997043166356,16.71116762433916,16.67712995278868,-1907.043920678642,1900.091200315544
0.00024,2.076002991067563,1004.746921264321,1000.752068885828,0.0002540680156794784,7968.944727077073,-2067.131063779037,2059.922641007788,2.076002991067563,18.20135814409685,18.16500777409698,-2067.131063779037,2059.922641007788
0.00026,2.233675155436566,1004.7040076556,1000.794836558052,0.0002971686562013248,7796.005443540463,-2223.837396519044,2216.463565162013,2.233675155436566,19.6841291780839,19.64566044608537,-2223.837396519044,2216.463565162013
0.00028,2.387763456482731,1004.657994542514,1000.840701335597,0.0003433885941938657,7610.708779269714,-2376.910570918852,2369.466008899075,2.387763456482731,21.15887073351797,21.11849111239605,-2376.910570918852,2369.466008899075
0.0003,2.538024635654105,1004.608957977301,1000.88958911732,0.0003926527891215008,7413.357473606461,-2526.105449360672,2518.688522283053,2.538024635654105,22.62495283421177,22.58288253962178,-2526.105449360672,2518.688522283053
0.00032,2.684220276677149,1004.556977701608,1000.94142215724,0.0004448825430381789,7204.268885968817,-2671.182056623164,2663.894120924875,2.684220276677149,24.0817897347392,24.03826018655318,-2671.182056623164,2663.894120924875
0.00034,2.826119701034174,1004.502139085413,1000.996117151211,0.0004999935541817335,6983.782671393339,-2811.908573378619,2804.853227039049,2.826119701034174,25.52877546000002,25.4840288346472,-2811.908573378619,2804.853227039049
0.00036,2.963498373967306,1004.444531358181,1001.053586956948,0.00055789768134323,6752.253818725218,-2948.059689698509,2941.342027161199,2.963498373967306,26.96533005646803,26.91961793684596,-2948.059689698509,2941.342027161199
0.00038,3.096139250110423,1004.384248219257,1001.113739983479,0.0006185023207846433,6510.055079055429,-3079.417989111265,3073.143831541784,3.096139250110423,28.39087682009574,28.34445923781945,-3079.417989111265,3073.143831541784
0.0004,3.223832977686694,1004.321387718869,1001.176480299572,0.0006817105201472127,6257.57650881679,-3205.774157902746,3200.049274321289,3.223832977686694,29.80484205274804,29.7579866080569,-3205.774157902746,3200.049274321289
0.00042,3.346377890476213,1004.256051749366,1001.241708114521,0.000747421482399923,5995.223490785418,-3326.926968294609,3321.856298162811,3.346377890476213,31.20666296992653,31.15964365295298,-3326.926968294609,3321.856298162811
0.00044,3.463580175980826,1004.188346423236,1001.309319417602,0.0008155301879715215,5723.418209507142,-3442.683461635824,3438.370331194081,3.463580175980826,32.59577569606616,32.54887236809215,-3442.683461635824,3438.370331194081
0.00046,3.575255447768568,1004.118381381923,1001.379206597073,0.0008859280501392821,5442.59701522159,-3552.860507714691,3549.405858463911,3.575255447768568,33.97162674356922,33.92512341578355,-3552.860507714691,3549.405858463911
0.00048,3.681227507918233,1004.046270107694,1001.451258174237,0.0009585026280043147,5153.211591834906,-3657.283569669496,3654.785193133144,3.681227507918233,35.33366316076211,35.28784750959043,-3657.283569669496,3654.785193133144
0.0005,3.781329988328428,1003.972129303367,1001.525359355619,0.001033138209115917,4855.726595613531,-3755.788330093338,3754.340124352673,3.781329988328428,36.68134145825938,36.63650328261974,-3755.788330093338,3754.340124352673
0.0005200000000000001,3.87540571559618,1003.896078869604,1001.601392070997,0.001109715842080497,4550.619540057619,-3848.220046874448,3847.911293146691,3.87540571559618,38.01412429158174,37.97055455526828,-3848.220046874448,3847.911293146691
